STATION,LATITUDE,LONGITUDE,year,month,day,HPCP
COOP:040014,34.49472,-118.27139,2000,1,17,0.08
COOP:040014,34.49472,-118.27139,2000,1,25,0.47
COOP:040014,34.49472,-118.27139,2000,1,31,0.04
COOP:040014,34.49472,-118.27139,2000,2,10,0.27
COOP:040014,34.49472,-118.27139,2000,2,11,0.04
COOP:040014,34.49472,-118.27139,2000,2,12,0.32
COOP:040014,34.49472,-118.27139,2000,2,16,0.43
COOP:040014,34.49472,-118.27139,2000,2,20,0.44
COOP:040014,34.49472,-118.27139,2000,2,21,1.02
COOP:040014,34.49472,-118.27139,2000,2,23,0.75
COOP:040014,34.49472,-118.27139,2000,2,27,0.27
COOP:040014,34.49472,-118.27139,2000,3,3,0.04
COOP:040014,34.49472,-118.27139,2000,3,4,0.04
COOP:040014,34.49472,-118.27139,2000,3,5,0.8300000000000001
COOP:040014,34.49472,-118.27139,2000,3,6,0.04
COOP:040014,34.49472,-118.27139,2000,3,8,0.08
COOP:040014,34.49472,-118.27139,2000,4,17,0.7000000000000001
COOP:040014,34.49472,-118.27139,2000,4,18,0.6700000000000002
COOP:040014,34.49472,-118.27139,2000,5,25,0.04
COOP:040014,34.49472,-118.27139,2000,10,26,0.04
COOP:040014,34.49472,-118.27139,2000,10,27,0.16
COOP:040014,34.49472,-118.27139,2000,10,29,0.19000000000000003
COOP:040014,34.49472,-118.27139,2000,11,10,0.12
COOP:040014,34.49472,-118.27139,2000,11,11,0.04
COOP:040161,41.49306,-120.55278,2000,1,10,0.1
COOP:040161,41.49306,-120.55278,2000,1,11,0.5
COOP:040161,41.49306,-120.55278,2000,1,15,0.2
COOP:040161,41.49306,-120.55278,2000,1,18,0.30000000000000004
COOP:040161,41.49306,-120.55278,2000,1,24,0.8999999999999999
COOP:040161,41.49306,-120.55278,2000,1,30,0.1
COOP:040161,41.49306,-120.55278,2000,1,31,0.1
COOP:040161,41.49306,-120.55278,2000,2,10,0.2
COOP:040161,41.49306,-120.55278,2000,2,13,0.2
COOP:040161,41.49306,-120.55278,2000,2,14,0.1
COOP:040161,41.49306,-120.55278,2000,2,16,0.2
COOP:040161,41.49306,-120.55278,2000,2,21,0.1
COOP:040161,41.49306,-120.55278,2000,2,25,0.1
COOP:040161,41.49306,-120.55278,2000,3,9,0.1
COOP:040161,41.49306,-120.55278,2000,3,16,0.1
COOP:040161,41.49306,-120.55278,2000,3,22,0.1
COOP:040161,41.49306,-120.55278,2000,3,28,0.1
COOP:040161,41.49306,-120.55278,2000,4,17,0.30000000000000004
COOP:040161,41.49306,-120.55278,2000,4,18,0.1
COOP:040161,41.49306,-120.55278,2000,5,15,0.4
COOP:040161,41.49306,-120.55278,2000,5,16,1.0
COOP:040161,41.49306,-120.55278,2000,6,8,0.1
COOP:040161,41.49306,-120.55278,2000,7,3,0.1
COOP:040161,41.49306,-120.55278,2000,7,4,0.1
COOP:040161,41.49306,-120.55278,2000,7,5,0.4
COOP:040161,41.49306,-120.55278,2000,9,1,0.1
COOP:040161,41.49306,-120.55278,2000,9,4,0.1
COOP:040161,41.49306,-120.55278,2000,10,10,0.30000000000000004
COOP:040161,41.49306,-120.55278,2000,10,11,0.5
COOP:040161,41.49306,-120.55278,2000,10,14,0.1
COOP:040161,41.49306,-120.55278,2000,10,20,0.2
COOP:040161,41.49306,-120.55278,2000,10,27,0.1
COOP:040161,41.49306,-120.55278,2000,10,28,0.4
COOP:040161,41.49306,-120.55278,2000,10,29,0.2
COOP:040161,41.49306,-120.55278,2000,10,30,0.1
COOP:040161,41.49306,-120.55278,2000,11,8,0.1
COOP:040161,41.49306,-120.55278,2000,11,10,0.1
COOP:040161,41.49306,-120.55278,2000,11,15,0.2
COOP:040161,41.49306,-120.55278,2000,11,16,0.1
COOP:040161,41.49306,-120.55278,2000,11,29,0.1
COOP:040161,41.49306,-120.55278,2000,12,9,0.1
COOP:040161,41.49306,-120.55278,2000,12,13,0.2
COOP:040212,38.57306,-122.44056,2000,1,5,0.1
COOP:040212,38.57306,-122.44056,2000,1,9,0.4
COOP:040212,38.57306,-122.44056,2000,1,10,1.2
COOP:040212,38.57306,-122.44056,2000,1,12,0.1
COOP:040212,38.57306,-122.44056,2000,1,13,0.1
COOP:040212,38.57306,-122.44056,2000,1,14,0.4
COOP:040212,38.57306,-122.44056,2000,1,15,0.7000000000000001
COOP:040212,38.57306,-122.44056,2000,1,17,0.5
COOP:040212,38.57306,-122.44056,2000,1,18,0.4
COOP:040212,38.57306,-122.44056,2000,1,20,0.2
COOP:040212,38.57306,-122.44056,2000,1,21,0.1
COOP:040212,38.57306,-122.44056,2000,1,22,1.0999999999999999
COOP:040212,38.57306,-122.44056,2000,1,23,1.4000000000000001
COOP:040212,38.57306,-122.44056,2000,1,24,0.2
COOP:040212,38.57306,-122.44056,2000,1,29,0.8999999999999999
COOP:040212,38.57306,-122.44056,2000,1,30,0.5
COOP:040212,38.57306,-122.44056,2000,2,3,0.1
COOP:040212,38.57306,-122.44056,2000,2,5,0.7
COOP:040212,38.57306,-122.44056,2000,2,9,0.1
COOP:040212,38.57306,-122.44056,2000,2,10,0.6
COOP:040212,38.57306,-122.44056,2000,2,11,1.5000000000000002
COOP:040212,38.57306,-122.44056,2000,2,12,0.1
COOP:040212,38.57306,-122.44056,2000,2,13,0.0
COOP:040212,38.57306,-122.44056,2000,2,14,2.2000000000000006
COOP:040212,38.57306,-122.44056,2000,2,16,0.1
COOP:040212,38.57306,-122.44056,2000,2,20,1.0999999999999999
COOP:040212,38.57306,-122.44056,2000,2,21,0.1
COOP:040212,38.57306,-122.44056,2000,2,22,1.6
COOP:040212,38.57306,-122.44056,2000,2,24,0.30000000000000004
COOP:040212,38.57306,-122.44056,2000,2,26,1.8000000000000003
COOP:040212,38.57306,-122.44056,2000,2,27,0.6
COOP:040212,38.57306,-122.44056,2000,2,29,0.7
COOP:040212,38.57306,-122.44056,2000,3,2,0.30000000000000004
COOP:040212,38.57306,-122.44056,2000,3,4,0.5
COOP:040212,38.57306,-122.44056,2000,3,5,0.6
COOP:040212,38.57306,-122.44056,2000,3,6,0.2
COOP:040212,38.57306,-122.44056,2000,3,7,0.6
COOP:040212,38.57306,-122.44056,2000,3,8,0.7
COOP:040212,38.57306,-122.44056,2000,3,9,1.0
COOP:040212,38.57306,-122.44056,2000,3,11,0.1
