STATION,LATITUDE,LONGITUDE,year,month,day,HPCP
COOP:040014,34.49472,-118.27139,1999,1,24,0.08
COOP:040014,34.49472,-118.27139,1999,1,25,0.67
COOP:040014,34.49472,-118.27139,1999,1,26,0.32
COOP:040014,34.49472,-118.27139,1999,1,27,0.07
COOP:040014,34.49472,-118.27139,1999,1,31,0.16
COOP:040014,34.49472,-118.27139,1999,3,9,0.04
COOP:040014,34.49472,-118.27139,1999,3,11,0.04
COOP:040014,34.49472,-118.27139,1999,3,18,0.24
COOP:040014,34.49472,-118.27139,1999,3,20,0.12
COOP:040014,34.49472,-118.27139,1999,3,25,0.04
COOP:040014,34.49472,-118.27139,1999,3,26,0.08
COOP:040014,34.49472,-118.27139,1999,3,31,0.03
COOP:040014,34.49472,-118.27139,1999,4,6,0.2
COOP:040014,34.49472,-118.27139,1999,4,7,0.4
COOP:040014,34.49472,-118.27139,1999,4,8,0.03
COOP:040014,34.49472,-118.27139,1999,4,9,0.04
COOP:040014,34.49472,-118.27139,1999,4,11,0.2
COOP:040014,34.49472,-118.27139,1999,4,12,0.42999999999999994
COOP:040014,34.49472,-118.27139,1999,5,23,0.08
COOP:040014,34.49472,-118.27139,1999,6,2,0.12
COOP:040014,34.49472,-118.27139,1999,6,3,0.32
COOP:040014,34.49472,-118.27139,1999,9,7,0.32
COOP:040014,34.49472,-118.27139,1999,9,8,0.03
COOP:040014,34.49472,-118.27139,1999,11,8,0.08
COOP:040014,34.49472,-118.27139,1999,11,17,0.04
COOP:040014,34.49472,-118.27139,1999,11,20,0.08
COOP:040161,41.49306,-120.55278,1999,1,14,0.1
COOP:040161,41.49306,-120.55278,1999,1,16,0.1
COOP:040161,41.49306,-120.55278,1999,1,17,0.2
COOP:040161,41.49306,-120.55278,1999,1,19,0.1
COOP:040161,41.49306,-120.55278,1999,1,22,0.4
COOP:040161,41.49306,-120.55278,1999,1,23,0.4
COOP:040161,41.49306,-120.55278,1999,1,26,0.2
COOP:040161,41.49306,-120.55278,1999,2,4,0.1
COOP:040161,41.49306,-120.55278,1999,2,5,0.1
COOP:040161,41.49306,-120.55278,1999,2,6,0.2
COOP:040161,41.49306,-120.55278,1999,2,7,0.2
COOP:040161,41.49306,-120.55278,1999,2,8,0.1
COOP:040161,41.49306,-120.55278,1999,2,9,0.9999999999999999
COOP:040161,41.49306,-120.55278,1999,2,10,0.1
COOP:040161,41.49306,-120.55278,1999,2,14,0.1
COOP:040161,41.49306,-120.55278,1999,2,18,0.2
COOP:040161,41.49306,-120.55278,1999,2,21,0.1
COOP:040161,41.49306,-120.55278,1999,2,25,0.2
