STATION,LATITUDE,LONGITUDE,year,month,day,HPCP
COOP:040161,41.49306,-120.55278,2001,1,8,0.1
COOP:040161,41.49306,-120.55278,2001,1,10,0.1
COOP:040161,41.49306,-120.55278,2001,1,22,0.1
COOP:040161,41.49306,-120.55278,2001,2,3,0.1
COOP:040161,41.49306,-120.55278,2001,2,11,0.1
COOP:040161,41.49306,-120.55278,2001,2,12,0.1
COOP:040161,41.49306,-120.55278,2001,2,19,0.1
COOP:040161,41.49306,-120.55278,2001,2,23,0.1
COOP:040161,41.49306,-120.55278,2001,2,24,0.1
COOP:040161,41.49306,-120.55278,2001,3,2,0.30000000000000004
COOP:040161,41.49306,-120.55278,2001,3,21,0.30000000000000004
COOP:040161,41.49306,-120.55278,2001,3,23,0.1
COOP:040161,41.49306,-120.55278,2001,3,24,0.1
COOP:040161,41.49306,-120.55278,2001,3,25,0.2
COOP:040161,41.49306,-120.55278,2001,4,4,0.1
COOP:040161,41.49306,-120.55278,2001,4,5,0.1
COOP:040161,41.49306,-120.55278,2001,4,6,0.2
COOP:040161,41.49306,-120.55278,2001,4,7,0.30000000000000004
COOP:040161,41.49306,-120.55278,2001,4,8,0.1
COOP:040161,41.49306,-120.55278,2001,4,11,0.1
COOP:040161,41.49306,-120.55278,2001,4,13,0.1
COOP:040161,41.49306,-120.55278,2001,4,18,0.1
COOP:040161,41.49306,-120.55278,2001,4,19,0.2
COOP:040161,41.49306,-120.55278,2001,4,20,0.1
COOP:040161,41.49306,-120.55278,2001,4,21,0.1
COOP:040161,41.49306,-120.55278,2001,6,25,0.1
COOP:040161,41.49306,-120.55278,2001,6,28,0.1
COOP:040161,41.49306,-120.55278,2001,6,30,0.1
COOP:040161,41.49306,-120.55278,2001,7,5,0.1
COOP:040161,41.49306,-120.55278,2001,7,11,0.1
COOP:040161,41.49306,-120.55278,2001,8,31,0.1
COOP:040161,41.49306,-120.55278,2001,9,15,0.3
COOP:040161,41.49306,-120.55278,2001,9,18,0.1
COOP:040161,41.49306,-120.55278,2001,9,24,0.1
COOP:040161,41.49306,-120.55278,2001,9,25,0.30000000000000004
COOP:040161,41.49306,-120.55278,2001,10,30,0.1
COOP:040161,41.49306,-120.55278,2001,10,31,0.1
COOP:040161,41.49306,-120.55278,2001,11,12,0.1
COOP:040161,41.49306,-120.55278,2001,11,13,0.2
COOP:040161,41.49306,-120.55278,2001,11,20,0.2
COOP:040161,41.49306,-120.55278,2001,11,21,0.7
COOP:040161,41.49306,-120.55278,2001,11,22,0.2
COOP:040161,41.49306,-120.55278,2001,11,24,0.1
COOP:040161,41.49306,-120.55278,2001,12,1,0.2
COOP:040161,41.49306,-120.55278,2001,12,2,0.7
COOP:040161,41.49306,-120.55278,2001,12,4,0.1
COOP:040161,41.49306,-120.55278,2001,12,5,0.30000000000000004
COOP:040161,41.49306,-120.55278,2001,12,6,0.30000000000000004
COOP:040161,41.49306,-120.55278,2001,12,13,0.1
COOP:040161,41.49306,-120.55278,2001,12,16,0.1
COOP:040161,41.49306,-120.55278,2001,12,19,0.2
COOP:040161,41.49306,-120.55278,2001,12,25,0.1
COOP:040161,41.49306,-120.55278,2001,12,29,0.1
COOP:040161,41.49306,-120.55278,2001,12,30,0.5
COOP:040212,38.57306,-122.44056,2001,1,8,0.7
COOP:040212,38.57306,-122.44056,2001,1,9,0.2
COOP:040212,38.57306,-122.44056,2001,1,10,1.3000000000000005
COOP:040212,38.57306,-122.44056,2001,1,11,1.3
COOP:040212,38.57306,-122.44056,2001,1,12,0.1
COOP:040212,38.57306,-122.44056,2001,1,23,0.9999999999999999
COOP:040212,38.57306,-122.44056,2001,1,24,0.1
COOP:040212,38.57306,-122.44056,2001,1,25,0.7999999999999999
COOP:040212,38.57306,-122.44056,2001,1,26,0.6
COOP:040212,38.57306,-122.44056,2001,1,29,0.1
COOP:040212,38.57306,-122.44056,2001,2,9,1.0999999999999999
COOP:040212,38.57306,-122.44056,2001,2,10,0.30000000000000004
COOP:040212,38.57306,-122.44056,2001,2,11,0.7999999999999999
COOP:040212,38.57306,-122.44056,2001,2,12,0.4
COOP:040212,38.57306,-122.44056,2001,2,13,0.1
COOP:040212,38.57306,-122.44056,2001,2,17,0.7
COOP:040212,38.57306,-122.44056,2001,2,18,0.4
COOP:040212,38.57306,-122.44056,2001,2,19,0.8999999999999999
COOP:040212,38.57306,-122.44056,2001,2,20,0.9999999999999999
COOP:040212,38.57306,-122.44056,2001,2,21,0.7
COOP:040212,38.57306,-122.44056,2001,2,22,0.8999999999999999
COOP:040212,38.57306,-122.44056,2001,2,23,0.2
COOP:040212,38.57306,-122.44056,2001,2,24,0.8999999999999999
COOP:040212,38.57306,-122.44056,2001,2,25,1.3000000000000003
COOP:040212,38.57306,-122.44056,2001,3,2,0.2
COOP:040212,38.57306,-122.44056,2001,3,3,0.2
COOP:040212,38.57306,-122.44056,2001,3,4,2.2
COOP:040212,38.57306,-122.44056,2001,3,5,0.2
COOP:040212,38.57306,-122.44056,2001,3,24,0.7999999999999999
COOP:040212,38.57306,-122.44056,2001,3,31,0.1
COOP:040212,38.57306,-122.44056,2001,4,6,0.2
COOP:040212,38.57306,-122.44056,2001,4,7,0.1
COOP:040212,38.57306,-122.44056,2001,4,10,0.1
COOP:040212,38.57306,-122.44056,2001,4,18,0.1
COOP:040212,38.57306,-122.44056,2001,4,20,1.0
COOP:040212,38.57306,-122.44056,2001,5,31,0.1
COOP:040212,38.57306,-122.44056,2001,6,27,0.4
COOP:040212,38.57306,-122.44056,2001,9,24,0.4
COOP:040212,38.57306,-122.44056,2001,9,26,0.1
COOP:040212,38.57306,-122.44056,2001,10,26,0.1
COOP:040212,38.57306,-122.44056,2001,10,30,1.3
COOP:040212,38.57306,-122.44056,2001,11,10,0.7
COOP:040212,38.57306,-122.44056,2001,11,11,0.6
COOP:040212,38.57306,-122.44056,2001,11,12,2.0
COOP:040212,38.57306,-122.44056,2001,11,13,0.2
COOP:040212,38.57306,-122.44056,2001,11,14,0.1
COOP:040212,38.57306,-122.44056,2001,11,16,0.1
COOP:040212,38.57306,-122.44056,2001,11,19,0.1
COOP:040212,38.57306,-122.44056,2001,11,20,0.1
COOP:040212,38.57306,-122.44056,2001,11,21,1.6000000000000005
COOP:040212,38.57306,-122.44056,2001,11,24,1.8
COOP:040212,38.57306,-122.44056,2001,11,25,0.1
COOP:040212,38.57306,-122.44056,2001,11,28,1.7000000000000002
COOP:040212,38.57306,-122.44056,2001,11,29,0.2
COOP:040212,38.57306,-122.44056,2001,12,1,3.1
COOP:040212,38.57306,-122.44056,2001,12,2,1.9000000000000004
COOP:040212,38.57306,-122.44056,2001,12,3,0.1
COOP:040212,38.57306,-122.44056,2001,12,5,1.2000000000000002
COOP:040212,38.57306,-122.44056,2001,12,6,0.1
COOP:040212,38.57306,-122.44056,2001,12,9,0.2
COOP:040212,38.57306,-122.44056,2001,12,13,0.5
COOP:040212,38.57306,-122.44056,2001,12,14,0.7999999999999999
COOP:040212,38.57306,-122.44056,2001,12,16,0.1
COOP:040212,38.57306,-122.44056,2001,12,17,0.8
COOP:040212,38.57306,-122.44056,2001,12,19,0.2
