,STATION,LATITUDE,LONGITUDE
6726,COOP:047600,34.2,-117.08333
6766,COOP:047614,40.36667,-123.43333
6834,COOP:047630,38.51667,-121.5
6896,COOP:047633,38.58333,-121.5
6958,COOP:047646,38.5,-122.53333
6999,COOP:047719,36.51667,-121.08333
7023,COOP:047740,32.73333,-117.16667
7072,COOP:047762,34.31667,-118.5
7115,COOP:047767,37.76667,-122.5
7164,COOP:047769,37.61667,-122.38333
7226,COOP:047772,37.76667,-122.43333
7291,COOP:047779,34.2,-117.86667
7304,COOP:047813,33.78333,-116.96667
7346,COOP:047817,37.08333,-119.71667
7382,COOP:047821,37.36667,-121.9
7425,COOP:047837,33.6,-117.51667
7465,COOP:047846,37.05,-121.06667
7499,COOP:047851,35.3,-120.66667
7536,COOP:047859,34.51667,-119.81667
7578,COOP:047867,35.75,-120.68333
7615,COOP:047891,34.1,-117.1
7634,COOP:047902,34.41667,-119.68333
7659,COOP:047926,34.11667,-117.96667
7700,COOP:047933,35.36667,-120.63333
7742,COOP:047946,34.9,-120.45
7794,COOP:047976,34.61667,-120.06667
7832,COOP:047987,33.78333,-117.71667
7871,COOP:047993,33.71667,-117.53333
7899,COOP:048025,41.30102,-123.13298
7978,COOP:048072,38.41667,-122.81667
8035,COOP:048092,34.16667,-118.46667
8075,COOP:048135,40.71667,-122.41667
8140,COOP:048218,39.58333,-120.36667
8196,COOP:048230,33.8,-118.16667
8223,COOP:048243,33.75,-117.65
8265,COOP:048261,34.28333,-118.81667
8300,COOP:048332,39.31667,-120.36667
8356,COOP:048355,38.35,-119.45
8395,COOP:048436,34.05,-117.81667
8411,COOP:048460,36.15,-118.81667
8444,COOP:048463,36.2,-118.65
8478,COOP:048544,39.9,-121.53333
8520,COOP:048558,37.9,-121.25
8566,COOP:048587,39.58333,-122.53333
8615,COOP:048680,36.9,-121.83333
8631,COOP:048697,34.68333,-120.56667
8642,COOP:048703,40.41667,-120.66667
8677,COOP:048832,35.13333,-118.43333
8703,COOP:048844,33.5,-117.15
8739,COOP:048873,40.86667,-120.43333
8758,COOP:048885,38.8,-122.83333
8775,COOP:048893,33.63333,-116.16667
8788,COOP:048912,36.41667,-118.83333
8827,COOP:048917,36.46667,-118.86667
8861,COOP:048928,38.45,-120.5
8889,COOP:048992,33.65,-117.6
8902,COOP:049043,39.33333,-120.18333
8953,COOP:049053,41.96667,-121.46667
8995,COOP:049120,35.88333,-118.65
9022,COOP:049273,38.61667,-123.01667
