STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990101 01:00,0.00,g, 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990119 19:00,0.05, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990119 20:00,0.12, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990119 21:00,0.04, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990119 22:00,0.02, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990120 02:00,0.03, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990120 03:00,0.11, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990120 13:00,0.05, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990120 14:00,0.10, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990120 15:00,0.10, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990120 16:00,0.02, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990120 17:00,0.01, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990120 18:00,0.01, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990123 18:00,0.07, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990123 19:00,0.03, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990123 20:00,0.04, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990123 21:00,0.03, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990123 22:00,0.04, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990123 23:00,0.08, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 00:00,0.06, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 01:00,0.05, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 02:00,0.09, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 03:00,0.08, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 04:00,0.07, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 05:00,0.04, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 06:00,0.01, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 11:00,0.02, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 12:00,0.03, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 13:00,0.04, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 14:00,0.05, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 15:00,0.05, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 16:00,0.06, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 17:00,0.12, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 18:00,0.11, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 19:00,0.07, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 20:00,0.09, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 21:00,0.06, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 22:00,0.03, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990124 23:00,0.05, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990125 00:00,0.12, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990125 01:00,0.15, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990125 02:00,0.10, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990125 03:00,0.13, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990125 04:00,0.07, , 
COOP:045151,LOST HILLS CA US,87.8,35.61694,-119.68917,19990125 06:00,0.02, , 
