STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920101 01:00,0.00,g, 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920103 04:00,999.99,a, 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920103 07:00,0.20,A, 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 02:00,0.01, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 04:00,0.02, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 05:00,0.20, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 06:00,0.11, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 07:00,0.14, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 08:00,0.03, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 09:00,0.18, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 10:00,0.18, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 11:00,0.12, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 12:00,0.05, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 13:00,0.03, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 14:00,0.04, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 15:00,0.03, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 16:00,0.08, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 17:00,0.01, , 
COOP:045151,LOST HILLS CA US,87.8,35.61667,-119.68333,19920105 18:00,0.02, , 
