STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090101 00:00,999.99,}, 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090101 01:00,0.00,g, 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090118 12:00,999.99,{, 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090201 00:00,999.99,}, 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090201 01:00,999.99,{, 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090203 12:00,999.99,}, 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090205 11:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090205 12:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090205 13:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090205 14:00,0.20, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090205 15:00,0.20, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090205 19:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090205 20:00,0.20, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090205 22:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090205 23:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090206 00:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090206 02:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090206 05:00,0.20, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090206 06:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090206 11:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090208 18:00,0.20, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090208 19:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090208 20:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090208 21:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090208 22:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090208 23:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090209 00:00,0.10, , 
COOP:048544,STIRLING CITY RANGER STATION CA US,1072.9,39.9041,-121.528,20090209 11:00,0.20, , 
